Female_genotype,Species,DTS,DTA,PH,EH,EN,BW,BL,SL,SPAD1,SPAD1_Date,Species,SPAD2_Date,Leaf_Auringle,ST,StPu,StPi,Kinki,Prolif,NBR,LI_COR,LI_COR_Date,SCiO,SCiO_Date
Mesa-JSG-RMM-LCL-536_P1_P1_P3_P2.1.1.1,Mesa,6/27/23,6/27/23,184,76,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,1,NA,NA,NA,NA,NA
Hueh-H1_P3_P1_P4_P1.1.1.1,Hueh,7/1/23,6/29/23,205,75,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Hueh-H1_P3_P1_P1_P1.1.1.1,Hueh,7/3/23,6/27/23,174,62,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Hueh-H1_P3_P1_P3_P1.4.1.1,Hueh,7/1/23,7/1/23,188,59,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-483_P3_P1_P4_P1.1.1.1,Bals,7/1/23,6/27/23,135,58,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Dura-JSG-SRV-EAM-708_P3_P1_P5_P4.5.1.1,Dura,7/4/23,7/2/23,208,77,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JLNCM-646_P2_P1_P4_P2.1.1.1,Bals,7/4/23,7/4/23,205,80,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,1,NA,NA,NA,NA,NA
B73,B73,6/29/23,6/27/23,188,66,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Mesa-JSG-465_P1_P1_P5_P1.1.1.1,Mesa,7/1/23,6/27/23,209,75,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Chal-JSG-JMHC-626_P4_P1_P5_P1.2.1.1,Chal,6/27/23,6/27/23,140,65,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,1,NA,NA,NA,NA,NA
Purple Check,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zlux-G1_P1_P1_P1_P1.1.1.1,Zlux,7/2/23,6/30/23,164,54,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-604_P2_P1_P2_P1.3.1.1,Nabo,7/3/23,7/1/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA,NA
Zdip-CIM10003_P2_P1_P4_P4.2.1.1,Zdip,6/26/23,6/26/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,NA,NA,NA,NA,NA,NA
